,Subject,Song_ID,Enjoyment,Alpha_Power
0,1,9,1,1.795595937515744e-09
1,1,11,1,5.133013067877551e-10
2,2,11,1,4.8515088318053915e-09
3,4,2,1,8.162229219184306e-09
4,4,3,1,8.900294497032867e-09
5,4,4,5,9.376485906852604e-09
6,4,8,1,9.864387879471476e-09
7,4,9,1,9.232951397210767e-09
8,4,11,1,9.54534525874818e-09
9,4,12,1,8.026737484235213e-09
10,7,2,1,3.476027369331479e-09
11,7,3,1,4.304205512237388e-09
12,7,4,1,4.5485615704725985e-09
13,7,5,1,3.761752643341145e-09
14,8,9,5,2.5178568344653612e-09
15,8,10,1,9.96575763022531e-09
16,8,12,1,2.131469711259751e-09
17,9,7,1,4.42369182267931e-09
18,11,7,1,1.6248478961925756e-10
19,11,8,1,1.6194195268868457e-10
20,11,9,1,1.5593515717355596e-10
21,12,3,5,1.5042657356456816e-09
22,12,7,1,1.4834444094427567e-09
23,12,8,5,1.4235505625064192e-09
24,12,9,5,1.4599530093242626e-09
25,13,5,1,9.110453989287689e-05
26,14,7,1,4.995113874698695e-10
27,14,8,5,5.007896668122105e-10
28,15,3,5,2.462282504768618e-10
29,15,8,5,2.549457441731636e-10
30,16,8,1,1.609239946913861e-09
31,16,10,5,1.4787415210124213e-09
32,16,12,5,1.6123163286350726e-09
33,17,8,1,5.442703020840776e-09
34,17,11,1,4.7412792046172764e-09
35,17,12,1,4.25674286080107e-09
36,18,3,5,4.019647686533207e-06
37,18,11,1,3.976110269196182e-09
38,19,2,1,1.2998186956740197e-09
39,19,10,1,1.2185330071497162e-09
40,19,11,1,2.6940805635311287e-05
41,20,2,1,6.044794010627759e-09
42,20,3,1,7.289837816789851e-09
43,20,10,1,6.913715847635746e-09
44,20,11,1,5.250757180787618e-09
