,Subject,Song_ID,Enjoyment,frontal,central,parietal
0,1,9,1,-0.6584808918180919,0.10314562338406735,0.5777192243441522
1,1,11,1,-0.7755451066004069,0.1414712053506169,0.6401922268039739
2,2,11,1,-0.3539703587193199,0.15241258070109873,0.11176750156930569
3,4,2,1,-0.21527270525829997,0.4458704099160672,-0.5927017472265128
4,4,3,1,-0.12417405831348544,0.3286602822217499,-0.4810338004782012
5,4,4,5,-0.0920498062399244,0.3623018697253969,-0.5797195499049945
6,4,8,1,-0.1729390018355711,0.3395297200438926,-0.4395239937460219
7,4,9,1,-0.18283196121083034,0.3670809725534113,-0.4811383284751627
8,4,11,1,-0.15818959057906595,0.30821737100735747,-0.408610194969386
9,4,12,1,-0.18780144808877686,0.41327452758045996,-0.5614217476358887
10,7,2,1,-0.5193118510137003,0.20444546853805667,0.2127009292682384
11,7,3,1,-0.5208623408233719,0.21821251521853896,0.1917094086567252
12,7,4,1,-0.5431742483873467,0.19831314473100162,0.24589447177475418
13,7,5,1,-0.4662148172544858,0.15148078381025604,0.24979231609802993
14,7,6,1,-0.5072277199828443,0.2296875667445571,0.15774473775514447
15,8,9,5,0.7944382842187259,-0.13992695283957343,-0.6765334228309923
16,8,10,1,0.6493782724846293,0.07150859819377163,-0.8845877477218071
17,8,12,1,0.6757884359113389,-0.04315905509362161,-0.7196688553676434
18,9,7,1,0.16030079018290633,0.3859725233714639,-0.9171401755861845
19,11,7,1,-0.19319508635236093,0.08491421947342825,0.06667504647038755
20,11,8,1,-0.25216337812659595,0.13809197994680789,0.043312696719594285
21,11,9,1,-0.3702134160353299,0.14353107992598274,0.16856180476691196
22,12,3,5,-0.22019925094346535,0.2153998013838671,-0.15267469355503274
23,12,6,5,-0.14633740890033228,0.17458345940254608,-0.1681135214397751
24,12,7,1,-0.2192621109529274,0.22684761149279456,-0.17897847795124602
25,12,8,5,-0.2783832731916171,0.17248724925361308,-0.011604118392991098
26,12,9,5,-0.23263091948027798,0.2029858375105125,-0.11647717976415414
27,13,5,1,-0.17562114201255474,0.07015806348994329,0.07034384323660266
28,14,7,1,-0.5853074963073678,0.0914584405663139,0.4741190902850144
29,14,8,5,-0.6157335614925015,0.07370217410914982,0.5410248321733482
30,15,3,5,-0.6237554854322851,-0.1691240055820771,0.8590658330336338
31,15,8,5,-0.5944568959738638,-0.16906638810291838,0.8007957419819698
32,16,6,5,-0.6959844802963157,0.32502571740685987,0.20616210950692887
33,16,8,1,-0.7470295264118383,0.320358318359861,0.27655784218740154
34,16,10,5,-0.6268821820747467,0.25830200044435697,0.25010303116806454
35,16,12,5,-0.731694943060055,0.22994618676156392,0.4157979201125401
36,17,6,5,-0.29591212200721145,-0.10959306669595356,0.536769275366548
37,17,8,1,-0.3809926481476355,-0.07222809539198212,0.5556295543347634
38,17,11,1,-0.2774604183660258,-0.12960567897836114,0.5466205995439497
39,17,12,1,-0.29340606649494316,-0.18613250191254088,0.6677582246648228
40,18,3,5,-0.10076506095500062,-0.09262427314298938,0.2899265812485216
41,18,6,1,-0.5074731432487547,-0.08518416392345739,0.7318443086416103
42,18,11,1,-0.5139480946235594,-0.12862955585410027,0.8171900373558225
43,19,2,1,-0.49374761791129296,-0.0015805332713983886,0.5668983237001324
44,19,10,1,-0.4327243128630387,-0.00450371578019721,0.5026982967188056
45,19,11,1,-0.0929154172067785,-0.08868606580389196,0.27373362324170214
46,20,2,1,-0.6003484341536615,0.4717750079428586,-0.15949042515591433
47,20,3,1,-0.5685504692647694,0.48829527109121545,-0.21309966252862167
48,20,10,1,-0.5966866330286487,0.45410725499383847,-0.1266020922578271
49,20,11,1,-0.6036953449774018,0.44296844532473184,-0.10692564572828941
