,Subject,Song_ID,Enjoyment,Frontal_Alpha_Power,Overall_Alpha_Power,N_Frontal_Channels
0,1,9,1,-93.71048660188947,-93.71048660188947,129
1,1,11,1,-93.94556849630213,-93.94556849630213,129
2,2,11,1,-84.79091369887473,-84.79091369887473,129
3,4,2,1,-81.67581205052171,-81.67581205052171,129
4,4,3,1,-81.53390583129483,-81.53390583129483,129
5,4,4,5,-81.18801208013997,-81.18801208013997,129
6,4,8,1,-81.00244257725004,-81.00244257725004,129
7,4,9,1,-81.3751769496257,-81.3751769496257,129
8,4,11,1,-81.0881822609066,-81.0881822609066,129
9,4,12,1,-81.79500246886664,-81.79500246886664,129
10,7,2,1,-85.66826498811703,-85.66826498811703,129
11,7,3,1,-84.74803630925258,-84.74803630925258,129
12,7,4,1,-84.64698227492583,-84.64698227492583,129
13,7,5,1,-85.30744975748496,-85.30744975748496,129
14,8,9,5,-86.36830558414054,-86.36830558414054,129
15,8,10,1,-86.85077755492465,-86.85077755492465,129
16,8,12,1,-87.1748348210213,-87.1748348210213,129
17,9,7,1,-83.93999466329774,-83.93999466329774,129
18,11,7,1,-98.47858015440221,-98.47858015440221,129
19,11,8,1,-98.6173539415593,-98.6173539415593,129
20,11,9,1,-98.63209776100622,-98.63209776100622,129
21,12,3,5,-88.76922140971604,-88.76922140971604,129
22,12,7,1,-88.76285173611684,-88.76285173611684,129
23,12,8,5,-89.1427873283399,-89.1427873283399,129
24,12,9,5,-88.8661446745273,-88.8661446745273,129
25,13,5,1,-60.52983661770629,-60.52983661770629,129
26,14,7,1,-93.58159489005158,-93.58159489005158,129
27,14,8,5,-93.56045608272939,-93.56045608272939,129
28,15,3,5,-97.41427226417908,-97.41427226417908,129
29,15,8,5,-97.57416432948322,-97.57416432948322,129
30,16,8,1,-88.69453712654017,-88.69453712654017,129
31,16,10,5,-89.02304124379538,-89.02304124379538,129
32,16,12,5,-89.41208810507234,-89.41208810507234,129
33,17,8,1,-83.52027350681023,-83.52027350681023,129
34,17,11,1,-84.36236532143552,-84.36236532143552,129
35,17,12,1,-84.76511577593855,-84.76511577593855,129
36,18,3,5,-74.3108299741362,-74.3108299741362,129
37,18,11,1,-84.73029693425453,-84.73029693425453,129
38,19,2,1,-90.62379097540702,-90.62379097540702,129
39,19,10,1,-90.761724511847,-90.761724511847,129
40,19,11,1,-66.41299699789522,-66.41299699789522,129
41,20,2,1,-82.88777882912399,-82.88777882912399,129
42,20,3,1,-82.31759409513344,-82.31759409513344,129
43,20,10,1,-82.44611188765171,-82.44611188765171,129
44,20,11,1,-83.36027161440273,-83.36027161440273,129
