name,region
E1,parietal
E2,central
E3,central
E4,central
E5,frontal
E6,frontal
E7,frontal
E8,central
E9,central
E10,central
E11,frontal
E12,frontal
E13,frontal
E14,central
E15,central
E16,central
E17,central
E18,central
E19,frontal
E20,frontal
E21,central
E22,central
E23,central
E24,central
E25,central
E26,central
E27,central
E28,frontal
E29,frontal
E30,frontal
E31,frontal
E32,central
E33,central
E34,central
E35,frontal
E36,frontal
E37,frontal
E38,parietal
E39,central
E40,central
E41,frontal
E42,frontal
E43,parietal
E44,parietal
E45,central
E46,central
E47,central
E48,parietal
E49,parietal
E50,central
E51,central
E52,central
E53,frontal
E54,frontal
E55,frontal
E56,parietal
E57,parietal
E58,central
E59,central
E60,central
E61,central
E62,central
E63,parietal
E64,parietal
E65,central
E66,central
E67,central
E68,parietal
E69,parietal
E70,central
E71,central
E72,central
E73,parietal
E74,parietal
E75,central
E76,central
E77,central
E78,frontal
E79,frontal
E80,frontal
E81,parietal
E82,parietal
E83,central
E84,central
E85,central
E86,frontal
E87,frontal
E88,parietal
E89,parietal
E90,central
E91,central
E92,central
E93,frontal
E94,parietal
E95,parietal
E96,central
E97,central
E98,central
E99,parietal
E100,parietal
E101,central
E102,central
E103,frontal
E104,frontal
E105,frontal
E106,frontal
E107,parietal
E108,central
E109,central
E110,frontal
E111,frontal
E112,frontal
E113,parietal
E114,parietal
E115,central
E116,central
E117,frontal
E118,frontal
E119,parietal
E120,parietal
E121,parietal
E122,central
E123,central
E124,frontal
E125,parietal
E126,parietal
E127,parietal
E128,parietal
